"","time","ozone","wind"
"2",0.00546448087431694,3,6
"3",0.00819672131147541,3,4
"4",0.0109289617486339,5,3
"5",0.0136612021857923,5,3
"6",0.0163934426229508,6,4
"7",0.0191256830601093,4,6
"8",0.0218579234972678,4,3
"10",0.0273224043715847,7,3
"11",0.0300546448087432,4,8
"18",0.0491803278688525,9,4
"21",0.0573770491803279,4,3
"23",0.0628415300546448,5,5
"32",0.087431693989071,7,5
"34",0.092896174863388,9,3
"46",0.12568306010929,3,5
"47",0.128415300546448,7,5
"52",0.14207650273224,5,3
"54",0.147540983606557,4,7
"55",0.150273224043716,6,5
"57",0.155737704918033,15,3
"58",0.158469945355191,23,3
"59",0.16120218579235,17,3
"63",0.172131147540984,3,11
"66",0.180327868852459,6,3
"67",0.183060109289617,7,7
"68",0.185792349726776,7,5
"69",0.188524590163934,6,5
"74",0.202185792349727,12,3
"76",0.207650273224044,9,2
"81",0.221311475409836,8,5
"83",0.226775956284153,10,5
"87",0.237704918032787,11,6
"90",0.245901639344262,12,6
"94",0.256830601092896,5,6
"95",0.259562841530055,4,7
"101",0.275956284153005,10,6
"109",0.297814207650273,11,6
"112",0.306010928961749,17,5
"114",0.311475409836066,10,5
"115",0.314207650273224,19,7
"119",0.325136612021858,9,6
"120",0.327868852459016,19,5
"123",0.336065573770492,16,8
"128",0.349726775956284,12,8
"131",0.35792349726776,20,7
"136",0.371584699453552,18,6
"137",0.37431693989071,16,7
"139",0.379781420765027,16,3
"142",0.387978142076503,12,7
"146",0.398907103825137,9,5
"150",0.409836065573771,5,6
"151",0.412568306010929,11,3
"154",0.420765027322404,17,8
"158",0.431693989071038,10,7
"161",0.439890710382514,5,3
"166",0.453551912568306,26,4
"171",0.467213114754098,26,3
"173",0.472677595628415,15,4
"175",0.478142076502732,15,4
"179",0.489071038251366,13,5
"180",0.491803278688525,30,7
"182",0.497267759562842,15,5
"184",0.502732240437158,16,8
"186",0.508196721311475,23,3
"189",0.516393442622951,33,5
"192",0.524590163934426,17,5
"196",0.53551912568306,17,6
"197",0.538251366120219,15,6
"200",0.546448087431694,20,5
"209",0.57103825136612,26,6
"216",0.590163934426229,12,4
"220",0.601092896174863,25,4
"223",0.609289617486339,22,3
"226",0.617486338797814,16,6
"227",0.620218579234973,7,7
"228",0.622950819672131,2,5
"231",0.631147540983607,12,5
"234",0.639344262295082,17,4
"235",0.64207650273224,13,3
"237",0.647540983606557,22,7
"240",0.655737704918033,32,6
"256",0.699453551912568,14,4
"258",0.704918032786885,18,5
"260",0.710382513661202,7,10
"261",0.713114754098361,9,3
"266",0.726775956284153,13,6
"268",0.73224043715847,7,5
"271",0.740437158469945,11,5
"275",0.751366120218579,5,3
"276",0.754098360655738,4,6
"278",0.759562841530055,17,4
"284",0.775956284153005,15,3
"286",0.781420765027322,7,8
"294",0.80327868852459,9,7
"297",0.811475409836066,7,4
"301",0.822404371584699,3,5
"302",0.825136612021858,7,6
"308",0.841530054644809,6,3
"310",0.846994535519126,5,7
"313",0.855191256830601,4,5
"316",0.863387978142076,5,4
"318",0.868852459016393,5,3
"319",0.871584699453552,1,3
"322",0.879781420765027,11,0
"331",0.904371584699454,4,6
"334",0.912568306010929,3,4
"338",0.923497267759563,3,2
"343",0.937158469945355,4,0
"347",0.948087431693989,4,3
"353",0.96448087431694,4,2
"354",0.967213114754098,6,0
"359",0.980874316939891,8,4
"360",0.983606557377049,5,0
"362",0.989071038251366,2,3
"366",1,2,4
